Psi,Fx,Fy
-90,-0.00610163518367347,0.0046511626122449
-80,0.567057559183673,-0.428262293877551
-70,1.24784383673469,-0.939619265306122
-60,1.96130334693878,-1.47340595918367
-50,2.62114604081633,-1.96489632653061
-40,3.14787330612245,-2.35480228571429
-30,3.47800987755102,-2.59609485714286
-20,3.57183795918367,-2.65968269387755
-10,3.41797640816326,-2.5378813877551
0,3.03495534693878,-2.245388
10,2.46898204081633,-1.81749004081633
20,1.78825004081633,-1.30578057142857
30,1.07485926530612,-0.771987869387755
40,0.414845191836735,-0.280497575510204
50,-0.112194244897959,0.109411934693878
60,-0.442688612244898,0.350711583673469
70,-0.465961118367347,0.360568971428571
90,-0.00623585493877551,0.00475078816326531